DATE,BAMLCC8A015PYTRIV
2014-10-08,3430.01
2014-10-09,3430.36
2014-10-10,3436.47
2014-10-13,3437.87
2014-10-14,3466.63
2014-10-15,3480.01
2014-10-16,3455.70
2014-10-17,3448.90
2014-10-20,3453.48
2014-10-21,3448.40
2014-10-22,3442.49
2014-10-23,3422.82
2014-10-24,3418.69
2014-10-27,3426.37
2014-10-28,3414.20
2014-10-29,3426.81
2014-10-30,3421.47
2014-10-31,3412.47
2014-11-03,3410.44
2014-11-04,3410.54
2014-11-05,3405.48
2014-11-06,3391.25
2014-11-07,3410.30
2014-11-10,3392.85
2014-11-11,3393.31
2014-11-12,3392.14
2014-11-13,3391.78
2014-11-14,3396.59
2014-11-17,3385.77
2014-11-18,3384.48
2014-11-19,3370.28
2014-11-20,3376.05
2014-11-21,3398.71
2014-11-24,3401.48
2014-11-25,3428.39
2014-11-26,3441.13
2014-11-27,3441.59
2014-11-28,3449.70
2014-11-30,3450.64
2014-12-01,3428.58
2014-12-02,3400.47
2014-12-03,3403.57
2014-12-04,3416.59
2014-12-05,3412.31
2014-12-08,3433.90
2014-12-09,3437.07
2014-12-10,3448.64
2014-12-11,3446.68
2014-12-12,3465.35
2014-12-15,3461.52
2014-12-16,3466.73
2014-12-17,3445.32
2014-12-18,3435.10
2014-12-19,3455.69
2014-12-22,3473.81
2014-12-23,3432.23
2014-12-24,3442.07
2014-12-26,3451.00
2014-12-29,3470.23
2014-12-30,3479.76
2014-12-31,3485.22
2015-01-02,3508.60
2015-01-05,3541.67
2015-01-06,3573.56
2015-01-07,3577.03
2015-01-08,3543.20
2015-01-09,3560.87
2015-01-12,3588.03
2015-01-13,3587.86
2015-01-14,3591.38
2015-01-15,3607.05
2015-01-19,3588.60
2015-01-20,3605.11
2015-01-21,3585.59
2015-01-22,3575.66
2015-01-23,3614.00
2015-01-26,3615.30
2015-01-27,3614.07
2015-01-28,3662.68
2015-01-29,3647.24
2015-01-30,3673.73
2015-01-31,3673.79
2015-02-02,3675.15
2015-02-03,3623.39
2015-02-04,3622.07
2015-02-05,3610.68
2015-02-06,3576.86
2015-02-09,3581.71
2015-02-10,3555.77
2015-02-11,3560.50
2015-02-12,3560.14
2015-02-13,3539.77
2015-02-16,3541.18
2015-02-17,3494.16
2015-02-18,3524.99
2015-02-19,3509.90
2015-02-20,3510.83
2015-02-23,3552.83
2015-02-24,3582.60
2015-02-25,3597.45
2015-02-26,3581.97
2015-02-27,3583.32
2015-02-28,3584.74
2015-03-02,3549.47
2015-03-03,3537.53
2015-03-04,3534.94
2015-03-05,3539.09
2015-03-06,3487.50
2015-03-09,3503.97
2015-03-10,3532.00
2015-03-11,3546.16
2015-03-12,3545.50
2015-03-13,3530.98
2015-03-16,3536.11
2015-03-17,3553.38
2015-03-18,3586.41
2015-03-19,3589.91
2015-03-20,3607.49
2015-03-23,3608.18
2015-03-24,3628.55
2015-03-25,3609.91
2015-03-26,3562.61
2015-03-27,3598.04
2015-03-30,3585.73
2015-03-31,3594.03
2015-04-01,3626.98
2015-04-02,3606.96
2015-04-06,3591.52
2015-04-07,3616.57
2015-04-08,3626.09
2015-04-09,3592.50
2015-04-10,3599.32
2015-04-13,3604.87
2015-04-14,3619.52
2015-04-15,3616.71
2015-04-16,3618.37
2015-04-17,3640.23
2015-04-20,3610.75
2015-04-21,3603.56
2015-04-22,3576.00
2015-04-23,3581.63
2015-04-24,3591.20
2015-04-27,3595.77
2015-04-28,3563.73
2015-04-29,3521.00
2015-04-30,3514.15
2015-05-01,3478.72
2015-05-04,3460.80
2015-05-05,3445.00
2015-05-06,3410.90
2015-05-07,3442.69
2015-05-08,3448.79
2015-05-11,3395.10
2015-05-12,3395.10
2015-05-13,3375.10
2015-05-14,3382.33
2015-05-15,3438.40
2015-05-18,3396.96
2015-05-19,3385.50
2015-05-20,3377.73
2015-05-21,3404.94
2015-05-22,3398.25
2015-05-26,3439.80
2015-05-27,3447.99
2015-05-28,3437.31
2015-05-29,3448.41
2015-05-31,3448.89
2015-06-01,3400.37
2015-06-02,3367.02
2015-06-03,3334.44
2015-06-04,3364.34
2015-06-05,3332.53
2015-06-08,3337.40
2015-06-09,3313.93
2015-06-10,3288.27
2015-06-11,3334.24
2015-06-12,3335.80
2015-06-15,3336.91
2015-06-16,3348.76
2015-06-17,3342.61
2015-06-18,3312.70
2015-06-19,3348.21
2015-06-22,3310.03
2015-06-23,3290.84
2015-06-24,3312.38
2015-06-25,3307.44
2015-06-26,3269.94
2015-06-29,3325.74
2015-06-30,3322.72
2015-07-01,3291.45
2015-07-02,3292.94
2015-07-03,3293.42
2015-07-06,3345.08
2015-07-07,3363.98
2015-07-08,3370.10
2015-07-09,3324.67
2015-07-10,3277.46
2015-07-13,3281.19
2015-07-14,3283.34
2015-07-15,3305.53
2015-07-16,3313.28
2015-07-17,3327.90
2015-07-20,3317.33
2015-07-21,3326.84
2015-07-22,3340.65
2015-07-23,3363.43
2015-07-24,3359.83
2015-07-27,3366.23
2015-07-28,3354.20
2015-07-29,3345.74
2015-07-30,3360.39
2015-07-31,3367.56
2015-08-03,3396.94
2015-08-04,3381.36
2015-08-05,3356.09
2015-08-06,3365.83
2015-08-07,3397.67
2015-08-10,3361.26
2015-08-11,3399.09
2015-08-12,3384.82
2015-08-13,3367.37
2015-08-14,3372.06
2015-08-17,3392.63
2015-08-18,3364.72
2015-08-19,3376.86
2015-08-20,3399.40
2015-08-21,3396.86
2015-08-24,3393.46
2015-08-25,3333.74
2015-08-26,3298.03
2015-08-27,3322.56
2015-08-28,3329.20
2015-08-31,3320.59
2015-09-01,3321.81
2015-09-02,3311.03
2015-09-03,3324.55
2015-09-04,3351.53
2015-09-07,3352.97
2015-09-08,3324.90
2015-09-09,3343.46
2015-09-10,3326.03
2015-09-11,3342.21
2015-09-14,3342.81
2015-09-15,3293.96
2015-09-16,3287.63
2015-09-17,3317.49
2015-09-18,3363.19
2015-09-21,3320.07
2015-09-22,3358.49
2015-09-23,3352.30
2015-09-24,3357.63
2015-09-25,3332.25
2015-09-28,3355.93
2015-09-29,3351.64
2015-09-30,3337.64
2015-10-01,3342.60
2015-10-02,3354.86
2015-10-05,3333.63
2015-10-06,3353.00
2015-10-07,3360.36
2015-10-08,3338.24
2015-10-09,3352.61
2015-10-12,3354.05
2015-10-13,3372.85
2015-10-14,3391.32
2015-10-15,3378.95
2015-10-16,3384.32
2015-10-19,3378.76
2015-10-20,3364.98
2015-10-21,3389.70
2015-10-22,3398.15
2015-10-23,3388.27
2015-10-26,3406.65
2015-10-27,3408.15
2015-10-28,3399.34
2015-10-29,3355.85
2015-10-30,3367.13
2015-10-31,3367.19
2015-11-02,3359.03
2015-11-03,3343.11
2015-11-04,3349.55
2015-11-05,3343.53
2015-11-06,3313.21
2015-11-09,3307.84
2015-11-10,3312.52
2015-11-11,3313.00
2015-11-12,3310.98
2015-11-13,3317.81
2015-11-16,3312.43
2015-11-17,3323.82
2015-11-18,3325.86
2015-11-19,3343.75
2015-11-20,3337.25
2015-11-23,3343.63
2015-11-24,3343.24
2015-11-25,3346.91
2015-11-26,3347.39
2015-11-27,3345.84
2015-11-30,3350.88
2015-12-01,3381.44
2015-12-02,3384.53
2015-12-03,3312.76
2015-12-04,3341.50
2015-12-07,3364.62
2015-12-08,3345.68
2015-12-09,3352.88
2015-12-10,3341.23
2015-12-11,3366.06
2015-12-14,3317.74
2015-12-15,3308.61
2015-12-16,3305.93
2015-12-17,3331.37
2015-12-18,3336.98
2015-12-21,3328.41
2015-12-22,3313.73
2015-12-23,3301.76
2015-12-24,3317.36
2015-12-28,3328.67
2015-12-29,3289.46
2015-12-30,3290.67
2015-12-31,3299.18
2016-01-04,3311.35
2016-01-05,3304.02
2016-01-06,3333.44
2016-01-07,3334.70
2016-01-08,3335.07
2016-01-11,3314.95
2016-01-12,3338.78
2016-01-13,3358.34
2016-01-14,3316.43
2016-01-15,3324.82
2016-01-18,3326.26
2016-01-19,3324.64
2016-01-20,3313.88
2016-01-21,3298.43
2016-01-22,3295.99
2016-01-25,3301.55
2016-01-26,3305.01
2016-01-27,3297.35
2016-01-28,3292.60
2016-01-29,3302.50
2016-01-31,3302.98
2016-02-01,3286.65
2016-02-02,3321.12
2016-02-03,3299.75
2016-02-04,3305.53
2016-02-05,3314.23
2016-02-08,3348.86
2016-02-09,3338.33
2016-02-10,3349.57
2016-02-11,3345.80
2016-02-12,3308.33
2016-02-15,3309.77
2016-02-16,3296.57
2016-02-17,3285.31
2016-02-18,3315.32
